Model Year ,Model Population,Total LU (ha),Energy Use (MJ),Freshwater withdrawals (m3),Global Warming Potential (kg co2 eq),Protein (cropland),Protein (pasture/forages),Dairy (cropland),Dairy (pasture/forage),Fruit (orchard/vineyard),Fruit (berry/melon),Vegetables (specialty),Vegetables (field),Grains,Oil,Sugar,Commodity crops (corn/soy),Pasture LU (ha),Cropland LU (ha)
2020,704990.0,85768.91501970746,842251594.516727,17499729730.395706,168235669.8284013,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2021,711405.0,85768.91501970746,833157546.5063045,17130523208.876747,166927656.06234026,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2022,717575.0,85768.91501970746,869095492.1278492,17616373992.85431,171322881.07322186,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2023,723768.0,85768.91501970746,788207966.8877705,15935663349.172573,157843785.45376313,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2024,729975.0,85768.91501970746,872408586.177624,17628123399.760612,175272244.43514735,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2025,736174.0,85768.91501970746,870736523.0863976,17936456494.747795,175017042.51225317,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2026,742344.0,85768.91501970746,927828961.4733242,19442022741.968494,186341361.8628137,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2027,748484.0,85768.91501970746,1004195625.1505586,20713476651.75486,202606606.8345903,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2028,754583.0,85768.91501970746,905005674.7809938,17906002578.949463,179830372.9546342,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2029,760636.0,85768.91501970746,942306172.9603701,19596708609.274723,190155123.4093659,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2030,766643.0,85768.91501970746,746472830.4826931,15486935008.163094,150129849.21155527,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2031,772596.0,85768.91501970746,809697836.7415646,16572414755.771215,163549210.8592444,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2032,778493.0,85768.91501970746,911561438.0538851,19155452072.129593,183543188.283805,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
2033,784328.0,85768.91501970746,757365164.4744902,15391163562.668528,152052711.79835448,9094.079084281273,32336.81091534364,246.92341897134907,5771.693591852339,960.2387769634148,626.7682642651573,1324.49146679926,1179.94667072383,10656.824136220897,19905.698802437488,3665.4398918487996,100000.0,38108.50450719598,47660.41051251147
